,adview
0,2545.3596
1,2501.1797
2,887.5431
3,521.5893
4,2423.839
5,815.72217
6,1425.1382
7,2529.6184
8,1260.489
9,2171.8115
10,889.81586
11,2213.1038
12,2537.998
13,1218.6418
14,682.775
15,816.8022
16,2423.584
17,56.90718
18,2116.3018
19,2518.412
20,1647.9573
21,2421.185
22,2162.8794
23,2512.8235
24,2368.4321
25,2157.8767
26,1153.1592
27,2671.373
28,2353.5479
29,1614.3806
30,2193.0942
31,2164.0166
32,1321.205
33,1008.9357
34,891.14325
35,1696.4338
36,2478.572
37,1805.7671
38,1822.2083
39,2663.4478
40,2056.6013
41,924.3347
42,1252.4019
43,1059.3167
44,2382.062
45,1685.0852
46,2029.0981
47,768.5075
48,2585.6257
49,905.1308
50,2018.4548
51,2411.8218
52,2246.2888
53,2307.013
54,1792.322
55,1235.0519
56,456.52664
57,2314.2764
58,1138.7495
59,1110.0273
60,2456.1753
61,1223.4149
62,2137.701
63,747.31683
64,1824.8695
65,2601.6436
66,2444.3625
67,1472.4209
68,2259.743
69,1234.9216
70,2198.749
71,2138.1155
72,1483.023
73,1421.4711
74,1211.5806
75,2334.9421
76,2152.3804
77,930.21466
78,1369.775
79,2448.0215
80,2408.3682
81,2160.4624
82,2479.6162
83,2496.5137
84,2061.595
85,2518.6287
86,2086.9583
87,692.6664
88,1427.7988
89,1576.5696
90,1406.3322
91,2189.204
92,2233.2031
93,2337.1973
94,954.887
95,1985.154
96,268.77393
97,2300.3706
98,896.11444
99,758.77386
100,2348.796
101,1800.7717
102,1652.6504
103,2627.4692
104,1170.2256
105,2237.4238
106,48.724075
107,2579.0261
108,988.4786
109,2334.3472
110,1861.8285
111,2108.6797
112,2316.4785
113,44.367424
114,2275.023
115,442.41953
116,1157.1384
117,2327.8599
118,2586.353
119,2161.876
120,2385.312
121,2638.5483
122,1459.3529
123,2509.4414
124,2607.6758
125,2443.761
126,1308.9242
127,2372.5186
128,2663.3179
129,2443.5376
130,1195.438
131,433.17593
132,2192.7256
133,2368.1104
134,2026.3135
135,16.632792
136,516.0931
137,1348.1858
138,1102.7036
139,985.99615
140,1127.646
141,2169.0254
142,417.73398
143,1510.771
144,1083.7037
145,991.5463
146,1535.5295
147,1172.269
148,989.3497
149,2.6317916
150,1515.6328
151,517.22626
152,2665.6128
153,1961.1069
154,2273.373
155,1452.4424
156,2227.6963
157,916.418
158,2689.2764
159,1244.8992
160,569.4229
161,1523.3055
162,630.72845
163,1106.1636
164,2383.0408
165,1602.1968
166,2157.3008
167,169.45319
168,2428.2036
169,2.6317916
170,2068.2585
171,2427.085
172,1136.9703
173,1084.3643
174,1296.875
175,609.8568
176,893.4052
177,2519.0488
178,2477.5386
179,2279.8984
180,2105.9739
181,2060.2803
182,1835.1173
183,2493.2515
184,2193.0156
185,1364.4271
186,2598.8833
187,2569.6814
188,2709.7974
189,1729.8889
190,1793.1401
191,1638.372
192,1383.447
193,1072.8901
194,2464.658
195,1626.1912
196,1931.5216
197,2439.0984
198,1753.4377
199,1724.8553
200,1966.5088
201,1051.302
202,1457.6796
203,506.49014
204,395.2728
205,2462.2446
206,1662.876
207,2434.2043
208,2104.5088
209,847.2224
210,2390.3904
211,1615.6743
212,2698.1821
213,2142.2278
214,1228.8792
215,2202.706
216,2451.9028
217,2385.8904
218,693.6211
219,2472.3896
220,2493.7788
221,1630.1718
222,2372.13
223,2495.212
224,1453.8223
225,1399.8162
226,1502.4033
227,2623.5518
228,1200.4012
229,1113.3063
230,2.6317916
231,2248.8547
232,1651.5979
233,2574.8064
234,1510.4453
235,1880.7332
236,2707.0886
237,2665.8606
238,906.6292
239,2556.3472
240,2.6317916
241,1906.2512
242,1856.7252
243,1184.6632
244,1938.404
245,1674.4163
246,1764.9323
247,1133.1936
248,2081.773
249,2109.7068
250,1263.571
251,741.8621
252,124.355286
253,2756.153
254,2151.278
255,1883.2849
256,2.6317916
257,2156.6182
258,2493.8413
259,2283.7585
260,2614.8044
261,1350.4773
262,2364.9783
263,2105.834
264,1921.1311
265,1438.4917
266,2180.3247
267,824.6065
268,1325.5785
269,762.6705
270,2242.8506
271,1359.846
